equiv_group_id,course_code,relation_type,scope_program_id,notes
LEVEL_HIST4260_HIST5260,HIST 4260,equivalent,,"same title, different level"
LEVEL_HIST4260_HIST5260,HIST 5260,equivalent,,"same title, different level"
LEVEL_HIST4262_HIST5262,HIST 4262,equivalent,,"same title, different level"
LEVEL_HIST4262_HIST5262,HIST 5262,equivalent,,"same title, different level"
LEVEL_HIST4264_HIST5264,HIST 4264,equivalent,,"same title, different level"
LEVEL_HIST4264_HIST5264,HIST 5264,equivalent,,"same title, different level"
LEVEL_HIST4266_HIST5266,HIST 4266,equivalent,,"same title, different level"
LEVEL_HIST4266_HIST5266,HIST 5266,equivalent,,"same title, different level"
LEVEL_HIST4271_HIST5271,HIST 4271,equivalent,,"same title, different level"
LEVEL_HIST4271_HIST5271,HIST 5271,equivalent,,"same title, different level"
LEVEL_HIST4298_HIST5298,HIST 4298,equivalent,,"same title, different level"
LEVEL_HIST4298_HIST5298,HIST 5298,equivalent,,"same title, different level"
LEVEL_HIST4310_HIST5310,HIST 4310,equivalent,,"same title, different level"
LEVEL_HIST4310_HIST5310,HIST 5310,equivalent,,"same title, different level"
LEVEL_HIST4350_HIST5350,HIST 4350,equivalent,,"same title, different level"
LEVEL_HIST4350_HIST5350,HIST 5350,equivalent,,"same title, different level"
LEVEL_HIST4450_HIST5450,HIST 4450,equivalent,,"same title, different level"
LEVEL_HIST4450_HIST5450,HIST 5450,equivalent,,"same title, different level"
LEVEL_HIST4460_HIST5460,HIST 4460,equivalent,,"same title, different level"
LEVEL_HIST4460_HIST5460,HIST 5460,equivalent,,"same title, different level"
LEVEL_HIST4500_HIST5500,HIST 4500,equivalent,,"same title, different level"
LEVEL_HIST4500_HIST5500,HIST 5500,equivalent,,"same title, different level"
LEVEL_HIST4555_HIST5555,HIST 4555,equivalent,,"same title, different level"
LEVEL_HIST4555_HIST5555,HIST 5555,equivalent,,"same title, different level"
LEVEL_HIST4705_HIST5705,HIST 4705,equivalent,,"same title, different level"
LEVEL_HIST4705_HIST5705,HIST 5705,equivalent,,"same title, different level"
LEVEL_HIST4747_HIST5747,HIST 4747,equivalent,,"same title, different level"
LEVEL_HIST4747_HIST5747,HIST 5747,equivalent,,"same title, different level"
LEVEL_HURE4003_HURE5003,HURE 4003,equivalent,,"same title, different level"
LEVEL_HURE4003_HURE5003,HURE 5003,equivalent,,"same title, different level"
LEVEL_HURE4010_HURE5010,HURE 4010,equivalent,,"same title, different level"
LEVEL_HURE4010_HURE5010,HURE 5010,equivalent,,"same title, different level"
LEVEL_HURE4080_HURE5080,HURE 4080,equivalent,,"same title, different level"
LEVEL_HURE4080_HURE5080,HURE 5080,equivalent,,"same title, different level"
LEVEL_HURE4140_HURE5140,HURE 4140,equivalent,,"same title, different level"
LEVEL_HURE4140_HURE5140,HURE 5140,equivalent,,"same title, different level"
LEVEL_HURE4931_HURE5931,HURE 4931,equivalent,,"same title, different level"
LEVEL_HURE4931_HURE5931,HURE 5931,equivalent,,"same title, different level"
LEVEL_INBU4931_INBU5931,INBU 4931,equivalent,,"same title, different level"
LEVEL_INBU4931_INBU5931,INBU 5931,equivalent,,"same title, different level"
LEVEL_INBU4931_INBU5931,INBU 6931,equivalent,,"same title, different level"
LEVEL_INBU4953_INBU6953,INBU 4953,equivalent,,"same title, different level"
LEVEL_INBU4953_INBU6953,INBU 6953,equivalent,,"same title, different level"
LEVEL_INBUI4931_INBUI6931,INBUI 4931,equivalent,,"same title, different level"
LEVEL_INBUI4931_INBUI6931,INBUI 6931,equivalent,,"same title, different level"
LEVEL_INSY4054_INSY5054,INSY 4054,equivalent,,"same title, different level"
LEVEL_INSY4054_INSY5054,INSY 5054,equivalent,,"same title, different level"
LEVEL_INSY4056_INSY5056,INSY 4056,equivalent,,"same title, different level"
LEVEL_INSY4056_INSY5056,INSY 5056,equivalent,,"same title, different level"
LEVEL_INSY4156_INSY5156,INSY 4156,equivalent,,"same title, different level"
LEVEL_INSY4156_INSY5156,INSY 5156,equivalent,,"same title, different level"
LEVEL_INSY4156_INSY5156,INSY 6156,equivalent,,"same title, different level"
LEVEL_INSY4158_INSY6158,INSY 4158,equivalent,,"same title, different level"
LEVEL_INSY4158_INSY6158,INSY 6158,equivalent,,"same title, different level"
LEVEL_INSY4931_INSY5931,INSY 4931,equivalent,,"same title, different level"
LEVEL_INSY4931_INSY5931,INSY 5931,equivalent,,"same title, different level"
LEVEL_INSY4931_INSY5931,INSY 6931,equivalent,,"same title, different level"
LEVEL_JOUR3986_JOUR4986,JOUR 3986,equivalent,,"same title, different level"
LEVEL_JOUR3986_JOUR4986,JOUR 4986,equivalent,,"same title, different level"
