parent_bucket_id,child_bucket_id,course_code,notes
MCC_WRIT,MCC_WRIT,ENGL 3302,
MCC_WRIT,MCC_WRIT,ENGL 3410,
MCC_WRIT,MCC_WRIT,ENGL 3453,
MCC_WRIT,MCC_WRIT,ENGL 3462,
MCC_WRIT,MCC_WRIT,ENGL 3513,
MCC_WRIT,MCC_WRIT,ENGL 3514,
MCC_WRIT,MCC_WRIT,ENGL 3517,
MCC_WRIT,MCC_WRIT,ENGL 3730,
MCC_WRIT,MCC_WRIT,ENGL 3734,
MCC_WRIT,MCC_WRIT,ENGL 3738,
MCC_WRIT,MCC_WRIT,ENGL 3751,
MCC_WRIT,MCC_WRIT,ENGL 3756,
MCC_WRIT,MCC_WRIT,ENGL 3761,
MCC_WRIT,MCC_WRIT,ENGL 3762,
MCC_WRIT,MCC_WRIT,ENGL 3766,
MCC_WRIT,MCC_WRIT,ENGL 3780,
MCC_WRIT,MCC_WRIT,ENGL 3785,
MCC_WRIT,MCC_WRIT,ENGL 3786,
MCC_WRIT,MCC_WRIT,ENGL 3841,
MCC_WRIT,MCC_WRIT,ENGL 3860,
MCC_WRIT,MCC_WRIT,ENGL 4000,
MCC_WRIT,MCC_WRIT,ENGL 4220,
MCC_WRIT,MCC_WRIT,ENGL 4221,
MCC_WRIT,MCC_WRIT,ENGL 4230,
MCC_WRIT,MCC_WRIT,ENGL 4250,
MCC_WRIT,MCC_WRIT,ENGL 4260,
MCC_WRIT,MCC_WRIT,ENGL 4270,
MCC_WRIT,MCC_WRIT,ENGL 4303,
MCC_WRIT,MCC_WRIT,ENGL 4311,
MCC_WRIT,MCC_WRIT,ENGL 4331,
MCC_WRIT,MCC_WRIT,ENGL 4402,
MCC_WRIT,MCC_WRIT,ENGL 4412,
MCC_WRIT,MCC_WRIT,ENGL 4422,
MCC_WRIT,MCC_WRIT,ENGL 4423,
MCC_WRIT,MCC_WRIT,ENGL 4472,
MCC_WRIT,MCC_WRIT,ENGL 4616,
MCC_WRIT,MCC_WRIT,ENGL 4631,
MCC_WRIT,MCC_WRIT,ENGL 4715,
MCC_WRIT,MCC_WRIT,ENGL 4739,
MCC_WRIT,MCC_WRIT,ENGL 4755,
MCC_WRIT,MCC_WRIT,ENGL 4825,
MCC_WRIT,MCC_WRIT,ENGL 4826,
MCC_WRIT,MCC_WRIT,ENGL 4830,
MCC_WRIT,MCC_WRIT,ENGL 4932,
MCC_WRIT,MCC_WRIT,ENGL 4954,
MCC_WRIT,MCC_WRIT,ENGL 4997,
MCC_WRIT,MCC_WRIT,EXPH 4020,
MCC_WRIT,MCC_WRIT,FILM 2600,
MCC_WRIT,MCC_WRIT,FREN 4110,
MCC_WRIT,MCC_WRIT,FREN 4270,
MCC_WRIT,MCC_WRIT,FREN 4280,
MCC_WRIT,MCC_WRIT,GEEN 2961,
MCC_WRIT,MCC_WRIT,GRMN 3500,
MCC_WRIT,MCC_WRIT,GRMN 3505,
MCC_WRIT,MCC_WRIT,HIST 1301,
MCC_WRIT,MCC_WRIT,HIST 3104,
MCC_WRIT,MCC_WRIT,HIST 4210,
MCC_WRIT,MCC_WRIT,HIST 4460,
